,method,speaker,file_name,random_file_name,text
0,seedvc,18,S018F013P000W00315.wav,0_ori_seedvc_18_S018F013P000W00315.wav,用小学生
1,vits,18,S018F014P000W00151.wav,1_ori_vits_18_S018F014P000W00151.wav,创造
2,ori,16,S016F004P000W00191.wav,2_ori_ori_16_S016F004P000W00191.wav,经济动
3,seedvc,19,S019F018P000W00018.wav,3_ori_seedvc_19_S019F018P000W00018.wav,而幸福
4,ours,06,S006F004P000W00008.wav,4_ori_ours_06_S006F004P000W00008.wav,她庄严
5,ours,01,S001F018P000W00039.wav,5_ori_ours_01_S001F018P000W00039.wav,从而从之其不善者改之
6,GlowTTSAndHiFI-GAN,01,S001F018P000W00010.wav,6_ori_GlowTTSAndHiFI-GAN_01_S001F018P000W00010.wav,儒家学派
7,ours,06,S006F004P000W00070.wav,7_ori_ours_06_S006F004P000W00070.wav,它助我们在主动中
8,vits,15,S015F002P000W00693.wav,8_ori_vits_15_S015F002P000W00693.wav,作为独立公司的
9,ours,18,S018F004P000W00060.wav,9_ori_ours_18_S018F004P000W00060.wav,求笋孝敬母亲的事迹
10,ori,01,S001F018P000W00010.wav,10_ori_ori_01_S001F018P000W00010.wav,儒家学派
11,GlowTTSAndHiFI-GAN,18,S018F010P000W00194.wav,11_ori_GlowTTSAndHiFI-GAN_18_S018F010P000W00194.wav,社会才能发展进步
12,ori,19,S019F007P000W00023.wav,12_ori_ori_19_S019F007P000W00023.wav,叠被子
13,ori,23,S023F001P000W01074.wav,13_ori_ori_23_S023F001P000W01074.wav,的大公司正在
14,ours,19,S019F001P000W00002.wav,14_ori_ours_19_S019F001P000W00002.wav,来自北京理工大学
15,ori,18,S018F012P000W00233.wav,15_ori_ori_18_S018F012P000W00233.wav,十年树木
16,vits,16,S016F002P000W00132.wav,16_ori_vits_16_S016F002P000W00132.wav,投资中
17,GlowTTSAndHiFI-GAN,19,S019F007P000W00023.wav,17_ori_GlowTTSAndHiFI-GAN_19_S019F007P000W00023.wav,叠被子
18,seedvc,23,S023F001P000W01528.wav,18_ori_seedvc_23_S023F001P000W01528.wav,产业
19,GlowTTSAndHiFI-GAN,20,S020F003P000W00289.wav,19_ori_GlowTTSAndHiFI-GAN_20_S020F003P000W00289.wav,中国游戏公司纷纷忙
20,ori,23,S023F001P000W01080.wav,20_ori_ori_23_S023F001P000W01080.wav,英
21,ori,06,S006F006P000W00025.wav,21_ori_ori_06_S006F006P000W00025.wav,他毅然弃医从文
22,GlowTTSAndHiFI-GAN,23,S023F001P000W01528.wav,22_ori_GlowTTSAndHiFI-GAN_23_S023F001P000W01528.wav,产业
23,vits,16,S016F004P000W00038.wav,23_ori_vits_16_S016F004P000W00038.wav,消防机器人
24,ori,01,S001F001P000W00037.wav,24_ori_ori_01_S001F001P000W00037.wav,愿我们都能以一颗感恩之心
