,method,speaker,file_name,random_file_name,text
0,seedvc,16,S016F003P000W00208.wav,0_ori_seedvc_16_S016F003P000W00208.wav,三
1,ori,16,S016F003P000W00208.wav,1_ori_ori_16_S016F003P000W00208.wav,三
2,ori,20,S020F003P000W00203.wav,2_ori_ori_20_S020F003P000W00203.wav,是威力巨大的定时炸弹
3,vits,23,S023F001P000W01213.wav,3_ori_vits_23_S023F001P000W01213.wav,城投券
4,vits,06,S006F004P000W00008.wav,4_ori_vits_06_S006F004P000W00008.wav,她庄严
5,seedvc,23,S023F002P000W01066.wav,5_ori_seedvc_23_S023F002P000W01066.wav,财力增长
6,ours,19,S019F027P000W00001.wav,6_ori_ours_19_S019F027P000W00001.wav,我学会了
7,GlowTTSAndHiFI-GAN,15,S015F002P000W00442.wav,7_ori_GlowTTSAndHiFI-GAN_15_S015F002P000W00442.wav,推广新媒体的版图
8,GlowTTSAndHiFI-GAN,15,S015F002P000W00076.wav,8_ori_GlowTTSAndHiFI-GAN_15_S015F002P000W00076.wav,抑制楼市过快上涨
9,ours,06,S006F007P000W00029.wav,9_ori_ours_06_S006F007P000W00029.wav,所以我依然想担任
10,ours,19,S019F010P000W00002.wav,10_ori_ours_19_S019F010P000W00002.wav,专升本考试
11,GlowTTSAndHiFI-GAN,18,S018F012P000W00233.wav,11_ori_GlowTTSAndHiFI-GAN_18_S018F012P000W00233.wav,十年树木
12,GlowTTSAndHiFI-GAN,06,S006F007P000W00029.wav,12_ori_GlowTTSAndHiFI-GAN_06_S006F007P000W00029.wav,所以我依然想担任
13,ours,23,S023F001P000W01213.wav,13_ori_ours_23_S023F001P000W01213.wav,城投券
14,GlowTTSAndHiFI-GAN,19,S019F010P000W00002.wav,14_ori_GlowTTSAndHiFI-GAN_19_S019F010P000W00002.wav,专升本考试
15,GlowTTSAndHiFI-GAN,16,S016F002P000W00091.wav,15_ori_GlowTTSAndHiFI-GAN_16_S016F002P000W00091.wav,产品的质量
16,ours,16,S016F004P000W00038.wav,16_ori_ours_16_S016F004P000W00038.wav,消防机器人
17,vits,20,S020F004P000W00163.wav,17_ori_vits_20_S020F004P000W00163.wav,具有一定的风险性
18,seedvc,01,S001F011P000W00016.wav,18_ori_seedvc_01_S001F011P000W00016.wav,让我更新了观念
19,ours,19,S019F002P000W00014.wav,19_ori_ours_19_S019F002P000W00014.wav,张金哲教授确诊为
20,vits,01,S001F018P000W00039.wav,20_ori_vits_01_S001F018P000W00039.wav,从而从之其不善者改之
21,ori,16,S016F004P000W00038.wav,21_ori_ori_16_S016F004P000W00038.wav,消防机器人
